[Grabotni,45,102,7.5,0,17.5,106,139,8.5]
[Prjónn,47.5,110,7.8,370,17.5,105,122,8.6]
[Smyrill,47.8,101,7.9,97,17.2,95,114,8.4]
[Vorm,47.6,95,7.8,158,17.3,111,122,8.5]
[Kaldi,47.8,100,7.9,218,17.1,135,93,84]
[Kóngur,59,108,8.0,0,17.5,105,114,8.5]
[Garpur,48.6,106,8.2,101,17.3,98,116,8.5]
[Broddi,57,92,7.5,0,18.0,99,144,9.5]
[Frakkson[,49.6,110,8.4,325,17.2,106,117,8.4]
[Sokki,41,108,7.0,0,17.3,108,144,8.5]
[Freydir[,46.4,105,7.9,135,17.4,103,118,8.6]
[Vodvi,47,100,8.0,0,17.5,106,112,9.0]
[Kjoi,48.8,116,8.4,160,17.0,94,111,8.3]
[Bogi,49.9,110,8.3,310,17.3,102,116,8.5]
[Falur,48.3,106,8.2,26,16.9,114,8.3]
[Bordi,42,110,8.0,0,18.0,104,0,9.0]
[Barmli,47.5,104,7.8,347,17.2,106,102,8.4]
[Þrottur,48.0,106,7.8,222,17.4,105,121,8.5]
[Bifur,45.5,96,7.7,407,17.5,110,115,8.7]
[Stali,85,102,8.0,0,17.5,100,130,9.0]
[Falki,51,103,7.5,0,17.5,102,142,9.0]
[Kjarkur,48,108,7.5,0,17.0,108,0,8.5]
[Holmi,45,104,7.5,0,18.0,95,0,9.0]
[Puki,49.0,111,7.7,403,17.3,114,119,8.5]
[Mjodur,46.4,102.8.0,210,17.5,103,127,8.6]
[Mokollur,49.6,111,7.9,135,16.9,122,102,8.2]
[Raftur,47.1,106,7.8,1406,17.6,112,122,8.6]
[Blossi,54,108,8.5,0,18.0,111,113,9.0]
[Blettur,44.9,100,7.9,332,17.2,99,109,8.3]
[Mundi,46,104,7.5,0,16.5,110,126,8.5]
[Hrifon,49,112,8.0,018.0,110,124,8.5]
[Skrauti,45,111,7.0,0,17.3,98,112,8.5]
[Krokur,47.5,101,8.0,218,17.5,97,157,8.7]
[As,48.8,121,8.1,82,17.2,108,110,8.3]
[fannar,46.4,105,7.9,222,17.4,101,125,8.6]
[hvellur,48.8,112,8.0,552,17.3,96,113,8.6]
[Gotti,47.2,100,8.0,182,175,102,119,8.6]
[Hroi,63,107,8.0,0,17.3,108,108,8.5]
[Dokki,45.5,102,7.8,157,17.2,105,120,8.5]
[Bolli,51,109,9.0,0,17.5,111,109,9.0]
[Tyr,38,96,8.0,0,17.5,105,131,8.5]
[Papi,45.6,82,8.0,428,17.6,106,140,8.7]
[Tengill,45,94,8.0,0,17.5,97,145,9.0]
[At,45.6,110,7.9,244,17.5,110,139,8.5]
[Grani,48.3,111,7.9,381,17.4,105,122,8.6]
[Ylur,47.4,111,8.0,184,17.2,96,117,8.4]
[Neisti,47,106,8.5,0,185,104,116,9.0]
[Logi,53,109,8.5,0,18,0,101,114,9.0]
[Kveikur,49.0,113,7.8,1085,17.4,106,118,8.6]
[Shrek,49.5,117,8.1,82,17,3,103,118,8.5]
[Cat,47.7,98,7.6,193,17.5,100,128,8.6]
